name;diameter;count;price;type_size;category
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;350;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;350;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;400;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;400;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;400;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;400;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;450;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;450;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;450;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;450;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;500;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;500;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;500;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;500;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;600;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;600;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;600;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;600;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;15;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;15;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;15;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;20;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;20;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;20;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;25;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;25;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;25;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;32;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;32;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
